ENS_MOUSE	GC	LENGTH
ENSMUSG00000064372	44.78	66
ENSMUSG00000029622	52.77	9145
ENSMUSG00000064371	34.33	66
ENSMUSG00000064370	39.07	1143
ENSMUSG00000094757	42.89	920
ENSMUSG00000085104	50.22	667
ENSMUSG00000090497	38.1	230
ENSMUSG00000048299	43.07	1016
ENSMUSG00000025041	43.81	11461
ENSMUSG00000034384	51.44	2594
ENSMUSG00000064369	34.78	68
ENSMUSG00000086902	51.52	1072
ENSMUSG00000094886	46.67	239
ENSMUSG00000020441	56.33	1278
ENSMUSG00000064368	34.1	518
ENSMUSG00000082464	41.91	991
ENSMUSG00000094298	42.86	923
ENSMUSG00000057461	45.4	944
ENSMUSG00000086920	42.23	492
ENSMUSG00000064367	37.12	1823
ENSMUSG00000080803	49.16	414
ENSMUSG00000096730	34.8	10117
ENSMUSG00000083175	50.42	600
ENSMUSG00000081150	49.95	998
ENSMUSG00000084141	46.69	905
ENSMUSG00000056032	46.05	8613
ENSMUSG00000051362	42.35	953
ENSMUSG00000039483	55.56	7373
ENSMUSG00000084393	41	471
ENSMUSG00000064366	30.99	70
ENSMUSG00000093976	46.12	3096
ENSMUSG00000087620	38.66	8880
ENSMUSG00000064365	32.2	58
ENSMUSG00000084800	32.64	573
ENSMUSG00000033166	39.83	3701
ENSMUSG00000044994	40.86	1668
ENSMUSG00000094735	42.97	923
ENSMUSG00000031444	47.83	7821
ENSMUSG00000064364	31.34	66
ENSMUSG00000003585	50.96	7178
ENSMUSG00000086478	38.86	462
ENSMUSG00000064363	35.63	1377
ENSMUSG00000086493	45.61	331
ENSMUSG00000066268	44.23	953
ENSMUSG00000086575	59.86	353
ENSMUSG00000067526	47.5	938
ENSMUSG00000083744	46.27	736
ENSMUSG00000061469	49.15	1280
ENSMUSG00000094011	42.16	917
ENSMUSG00000065947	41.08	296
ENSMUSG00000041025	51.05	12947
ENSMUSG00000078080	43.01	1029
ENSMUSG00000028517	46.41	3153
ENSMUSG00000064361	22.06	67
ENSMUSG00000067528	46.07	941
ENSMUSG00000028883	35.8	12953
ENSMUSG00000082442	36.52	396
ENSMUSG00000064360	33.05	347
ENSMUSG00000086646	42.97	1341
ENSMUSG00000096164	41.61	965
ENSMUSG00000081184	49.53	213
ENSMUSG00000064359	30.88	67
ENSMUSG00000084839	49.36	468
ENSMUSG00000073959	46.68	963
ENSMUSG00000067529	47.91	932
ENSMUSG00000019891	43.38	10654
ENSMUSG00000081296	50.67	597
ENSMUSG00000064358	38.9	783
ENSMUSG00000086498	44.31	697
ENSMUSG00000081662	46.24	621
ENSMUSG00000083312	49.47	935
ENSMUSG00000087395	43.75	870
ENSMUSG00000064357	35.98	680
ENSMUSG00000096152	43.18	923
ENSMUSG00000083156	50.04	1232
ENSMUSG00000084089	52.23	604
ENSMUSG00000081733	47.15	718
ENSMUSG00000073960	42.92	959
ENSMUSG00000028259	38.98	1164
ENSMUSG00000064356	31.86	203
ENSMUSG00000084188	53.68	420
ENSMUSG00000064355	33.85	64
ENSMUSG00000021440	39.16	1485
ENSMUSG00000064354	38.6	683
ENSMUSG00000073961	47.29	959
ENSMUSG00000095076	43.97	1211
ENSMUSG00000095201	42.86	923
ENSMUSG00000085843	45.86	2248
ENSMUSG00000080918	38.88	806
ENSMUSG00000095637	40.15	1496
ENSMUSG00000064353	17.14	69
ENSMUSG00000090718	56.82	82
ENSMUSG00000064352	37.68	68
ENSMUSG00000045792	47.13	941
ENSMUSG00000034687	42.73	15774
ENSMUSG00000057890	52.76	941
ENSMUSG00000064351	39.87	1544
ENSMUSG00000081046	47.29	1371
ENSMUSG00000095728	46.13	1214
ENSMUSG00000044042	41.51	31246
ENSMUSG00000004748	52.29	1815
ENSMUSG00000034424	45.97	1818
ENSMUSG00000038112	40.75	12571
ENSMUSG00000051285	39.03	19095
ENSMUSG00000096645	45.39	704
ENSMUSG00000083825	47.66	897
ENSMUSG00000082144	48.7	307
ENSMUSG00000043354	48.35	938
ENSMUSG00000027596	42.88	3079
ENSMUSG00000028249	40.67	11732
ENSMUSG00000064350	34.33	66
ENSMUSG00000064349	36.36	65
ENSMUSG00000085791	43.68	691
ENSMUSG00000064348	33.8	70
ENSMUSG00000094722	43.8	1443
ENSMUSG00000094351	36.16	370
ENSMUSG00000082074	47.17	3334
ENSMUSG00000057446	39.08	2485
ENSMUSG00000064347	33.33	68
ENSMUSG00000064346	40.3	66
ENSMUSG00000051234	44.76	1879
ENSMUSG00000073962	37.25	925
ENSMUSG00000064345	35.74	1037
ENSMUSG00000094352	38.83	1959
ENSMUSG00000046683	44.31	2064
ENSMUSG00000033285	42.31	8658
ENSMUSG00000083542	46.36	823
ENSMUSG00000031847	49.38	2968
ENSMUSG00000040372	40.81	2755
ENSMUSG00000096244	43.3	902
ENSMUSG00000064344	44.93	68
ENSMUSG00000054752	40.05	21418
ENSMUSG00000086226	54.92	662
ENSMUSG00000083644	47.46	394
ENSMUSG00000066269	46.39	956
ENSMUSG00000064343	36.62	70
ENSMUSG00000064342	27.54	68
ENSMUSG00000082388	56.59	545
ENSMUSG00000095229	40.01	1496
ENSMUSG00000096776	43.63	902
ENSMUSG00000064341	37.62	956
ENSMUSG00000060508	40.67	5662
ENSMUSG00000056418	50.27	1650
ENSMUSG00000045824	45.92	1040
ENSMUSG00000064340	44	74
ENSMUSG00000021441	38.69	1348
ENSMUSG00000064339	35.4	1581
ENSMUSG00000064338	39.13	68
ENSMUSG00000095754	50.34	763
ENSMUSG00000064337	35.81	954
ENSMUSG00000052785	45.16	887
ENSMUSG00000047388	49.48	4873
ENSMUSG00000064336	30.88	67
ENSMUSG00000049076	43.18	6470
ENSMUSG00000001552	52.25	12253
ENSMUSG00000094391	40.35	1496
ENSMUSG00000073778	47.62	1051
ENSMUSG00000073963	44.83	956
ENSMUSG00000062038	44.97	317
ENSMUSG00000098112	48.68	7803
ENSMUSG00000085228	55.75	295
ENSMUSG00000035910	43.63	10290
ENSMUSG00000085745	49.57	2190
ENSMUSG00000022070	42.18	2661
ENSMUSG00000043310	52.73	968
ENSMUSG00000079834	38.25	2243
ENSMUSG00000086828	47.68	755
ENSMUSG00000032412	42.13	1819
ENSMUSG00000055679	37.36	1396
ENSMUSG00000082561	56.12	555
ENSMUSG00000014547	43.57	1999
ENSMUSG00000073964	43.83	1044
ENSMUSG00000054986	49.43	5347
ENSMUSG00000059277	46.19	6369
ENSMUSG00000062142	48.15	944
ENSMUSG00000053110	43.52	17623
ENSMUSG00000061654	39.73	4347
ENSMUSG00000039128	43.59	5960
ENSMUSG00000011171	44.18	7343
ENSMUSG00000059923	46.01	10110
ENSMUSG00000073965	46.71	941
ENSMUSG00000064105	46.06	3550
ENSMUSG00000033186	41.56	2253
ENSMUSG00000052281	48.35	1390
ENSMUSG00000090805	26.21	63
ENSMUSG00000028518	40.58	7960
ENSMUSG00000070777	45.43	2885
ENSMUSG00000060888	43.11	950
ENSMUSG00000051412	36.15	2526
ENSMUSG00000078192	58.29	596
ENSMUSG00000048469	48.26	950
ENSMUSG00000027787	38.2	5438
ENSMUSG00000025402	58.23	5661
ENSMUSG00000021732	37.11	5178
ENSMUSG00000084294	40.11	176
ENSMUSG00000086266	52.73	5728
ENSMUSG00000036860	47.38	3916
ENSMUSG00000040254	36.5	6503
ENSMUSG00000094799	47.65	364
ENSMUSG00000073966	44.16	1070
ENSMUSG00000021339	45.28	2024
ENSMUSG00000070778	52.06	800
ENSMUSG00000079794	45.78	252
ENSMUSG00000079192	46.26	253
ENSMUSG00000043366	38.89	3492
ENSMUSG00000097411	51.24	1494
ENSMUSG00000040498	50.41	1890
ENSMUSG00000095092	47.7	364
ENSMUSG00000026857	51.55	7298
ENSMUSG00000036438	41.39	2736
ENSMUSG00000079800	44.73	1269
ENSMUSG00000000031	55.83	6323
ENSMUSG00000031756	48.09	1756
ENSMUSG00000029621	46.85	5547
ENSMUSG00000066272	50.2	1021
ENSMUSG00000059366	46.92	1054
ENSMUSG00000021843	39.69	4442
ENSMUSG00000094065	56.44	866
ENSMUSG00000078586	48.44	1572
ENSMUSG00000021731	42.95	1585
ENSMUSG00000085902	50.61	1852
ENSMUSG00000095041	52.45	6422
ENSMUSG00000066273	49.22	956
ENSMUSG00000083314	43.78	232
ENSMUSG00000087080	52.73	515
ENSMUSG00000094759	36.71	1529
ENSMUSG00000081318	54.79	302
ENSMUSG00000050853	46.39	941
ENSMUSG00000085564	55.95	1807
ENSMUSG00000086826	47.37	720
ENSMUSG00000070423	41.76	2913
ENSMUSG00000096543	49.3	425
ENSMUSG00000094070	46.56	679
ENSMUSG00000081311	49.66	446
ENSMUSG00000081929	49.34	455
ENSMUSG00000081642	41.67	239
ENSMUSG00000087090	52.07	4762
ENSMUSG00000079797	45.83	679
ENSMUSG00000082545	50	261
ENSMUSG00000083889	53.7	844
ENSMUSG00000087064	51.86	2350
ENSMUSG00000073967	49.2	1056
ENSMUSG00000024687	43.84	4564
ENSMUSG00000053559	49.26	2076
ENSMUSG00000019368	49.95	11142
ENSMUSG00000095322	44.66	935
ENSMUSG00000087072	48.16	394
ENSMUSG00000094019	46.27	679
ENSMUSG00000081096	42.98	455
ENSMUSG00000083812	52.32	452
ENSMUSG00000085192	44.2	467
ENSMUSG00000036557	46.14	840
ENSMUSG00000082245	44.75	1094
ENSMUSG00000040511	50.16	7138
ENSMUSG00000095013	46.27	679
ENSMUSG00000092536	43.34	559
ENSMUSG00000084130	51.4	213
ENSMUSG00000014633	45.7	6046
ENSMUSG00000073968	45.2	2382
ENSMUSG00000096438	55.36	2232
ENSMUSG00000083394	49.69	482
ENSMUSG00000003559	45.19	1740
ENSMUSG00000073787	58.13	2511
ENSMUSG00000084338	53.96	989
ENSMUSG00000084277	62.32	68
ENSMUSG00000000346	49.28	1822
ENSMUSG00000062649	33.79	1069
ENSMUSG00000042063	40.93	11023
ENSMUSG00000091749	43.61	1238
ENSMUSG00000062760	52.99	5910
ENSMUSG00000084292	43.04	1881
ENSMUSG00000091083	52.57	1353
ENSMUSG00000073969	47.31	1022
ENSMUSG00000095019	43.03	1082
ENSMUSG00000041718	38.19	14615
ENSMUSG00000073970	46.94	947
ENSMUSG00000086844	53.15	6199
ENSMUSG00000063176	38.94	944
ENSMUSG00000062376	47.7	2171
ENSMUSG00000095326	53.19	140
ENSMUSG00000054181	52.67	2290
ENSMUSG00000083396	42.38	1193
ENSMUSG00000028261	39.47	6654
ENSMUSG00000096850	48.87	308
ENSMUSG00000021439	36.84	2515
ENSMUSG00000073971	50.94	953
ENSMUSG00000039145	44.5	9259
ENSMUSG00000085354	48.7	909
ENSMUSG00000080812	50.79	188
ENSMUSG00000081445	46.37	454
ENSMUSG00000096150	51.15	349
ENSMUSG00000029620	50.61	1114
ENSMUSG00000073972	47.4	980
ENSMUSG00000094745	43.39	944
ENSMUSG00000086396	41.31	1529
ENSMUSG00000031758	45.37	8080
ENSMUSG00000047434	49.76	4401
ENSMUSG00000084302	44.76	1011
ENSMUSG00000073973	48.85	953
ENSMUSG00000074783	44.35	2970
ENSMUSG00000086742	50.99	3032
ENSMUSG00000094940	50.81	349
ENSMUSG00000084938	41.42	1094
ENSMUSG00000031443	51.41	1851
ENSMUSG00000021072	39.17	4137
ENSMUSG00000096466	50.25	334
ENSMUSG00000056777	48.24	482
ENSMUSG00000096768	46.17	3039
ENSMUSG00000082578	49.78	690
ENSMUSG00000073974	53.38	1078
ENSMUSG00000082004	54.04	271
ENSMUSG00000049848	50.06	3354
ENSMUSG00000083626	52.78	467
ENSMUSG00000061707	51.41	1124
ENSMUSG00000081934	54.88	378
ENSMUSG00000046546	57.72	3074
ENSMUSG00000073975	54.53	1037
ENSMUSG00000030243	44.39	15951
ENSMUSG00000098199	51.35	926
ENSMUSG00000082142	39.91	232
ENSMUSG00000081570	46.61	486
ENSMUSG00000086379	45.18	5168
ENSMUSG00000083061	44.25	347
ENSMUSG00000049721	49.62	5218
ENSMUSG00000098031	49.8	985
ENSMUSG00000095134	48.63	1196
ENSMUSG00000086250	43.91	513
ENSMUSG00000081791	49.2	186
ENSMUSG00000095392	36.44	628
ENSMUSG00000095366	48.87	308
ENSMUSG00000014686	53.31	1629
ENSMUSG00000050066	46.81	1893
ENSMUSG00000027345	44.59	1071
ENSMUSG00000096178	37.13	491
ENSMUSG00000026676	44.76	2667
ENSMUSG00000095127	53.06	293
ENSMUSG00000087377	41.39	919
ENSMUSG00000081431	51.75	455
ENSMUSG00000095099	45.82	704
ENSMUSG00000029062	44.18	11001
ENSMUSG00000033740	38.75	36622
ENSMUSG00000030966	46.16	2767
ENSMUSG00000085663	38.88	309
ENSMUSG00000069890	44.95	1819
ENSMUSG00000046139	41.39	4202
ENSMUSG00000086756	44.37	374
ENSMUSG00000094375	45.53	704
ENSMUSG00000092216	52.78	986
ENSMUSG00000094689	51.38	349
ENSMUSG00000087348	55.4	1579
ENSMUSG00000095800	45.73	701
ENSMUSG00000091060	46.56	731
ENSMUSG00000084278	45.72	911
ENSMUSG00000036356	40.94	10869
ENSMUSG00000094075	51.96	349
ENSMUSG00000087657	54.73	1117
ENSMUSG00000094909	46.24	704
ENSMUSG00000060878	45.06	1051
ENSMUSG00000078612	42.69	6164
ENSMUSG00000073977	51.1	950
ENSMUSG00000093881	46.05	683
ENSMUSG00000086814	61.98	764
ENSMUSG00000067545	48.79	1159
ENSMUSG00000026697	46.55	2076
ENSMUSG00000073978	47.16	932
ENSMUSG00000094459	45.73	701
ENSMUSG00000020064	39.92	3994
ENSMUSG00000001052	44.2	12241
ENSMUSG00000086108	49.52	1747
ENSMUSG00000060556	50.84	1071
ENSMUSG00000095083	45.73	701
ENSMUSG00000073979	46.91	939
ENSMUSG00000082988	45.33	6727
ENSMUSG00000028240	38.88	4392
ENSMUSG00000094399	35.82	491
ENSMUSG00000081339	48	449
ENSMUSG00000048292	52.32	947
ENSMUSG00000044824	55.84	950
ENSMUSG00000023953	43.28	2558
ENSMUSG00000084964	47.55	447
ENSMUSG00000094716	45.58	701
ENSMUSG00000032000	44.81	8355
ENSMUSG00000087530	52.56	463
ENSMUSG00000096625	46.35	683
ENSMUSG00000043925	51.36	1179
ENSMUSG00000020884	54.44	5484
ENSMUSG00000029486	39.9	8511
ENSMUSG00000067848	44.26	2207
ENSMUSG00000086502	45.71	2916
ENSMUSG00000094761	46.05	683
ENSMUSG00000044814	51.95	1129
ENSMUSG00000053175	52.83	5250
ENSMUSG00000034467	43.52	492
ENSMUSG00000020048	42.75	8044
ENSMUSG00000080959	36.45	628
ENSMUSG00000074184	47.22	287
ENSMUSG00000095303	44.5	626
ENSMUSG00000081376	45.28	158
ENSMUSG00000073823	61.26	375
ENSMUSG00000045391	52.74	451
ENSMUSG00000095386	38.03	22
ENSMUSG00000085651	56.74	404
ENSMUSG00000094744	46.49	683
ENSMUSG00000085072	49.16	1050
ENSMUSG00000095838	45.91	683
ENSMUSG00000095334	52.54	816
ENSMUSG00000006930	55.83	7508
ENSMUSG00000083677	46.13	400
ENSMUSG00000043300	44.74	1898
ENSMUSG00000039963	51.67	13585
ENSMUSG00000093768	43.67	196
ENSMUSG00000026672	45.11	9168
ENSMUSG00000083237	47.25	454
ENSMUSG00000073682	43.67	234
ENSMUSG00000054423	41.93	11187
ENSMUSG00000094418	43.86	626
ENSMUSG00000055435	44.55	9579
ENSMUSG00000049742	58.2	377
ENSMUSG00000083769	48.68	301
ENSMUSG00000085583	49.51	795
ENSMUSG00000095443	46.49	683
ENSMUSG00000082990	46.65	1030
ENSMUSG00000085710	44.66	806
ENSMUSG00000095167	45.91	683
ENSMUSG00000081229	51.37	873
ENSMUSG00000082499	39.61	1610
ENSMUSG00000082683	40.03	666
ENSMUSG00000095760	43.86	626
ENSMUSG00000090468	50.7	409
ENSMUSG00000082922	52.14	858
ENSMUSG00000084159	46.85	904
ENSMUSG00000066180	49.9	482
ENSMUSG00000020430	49.09	4360
ENSMUSG00000030978	41.43	3978
ENSMUSG00000057945	47.93	410
ENSMUSG00000082971	48.23	1494
ENSMUSG00000057367	40.85	3123
ENSMUSG00000026696	40.32	10430
ENSMUSG00000053886	41.91	2709
ENSMUSG00000082119	40.78	358
ENSMUSG00000095650	40.43	2155
ENSMUSG00000090559	44.04	5326
ENSMUSG00000035161	37.01	4974
ENSMUSG00000032411	40.69	21771
ENSMUSG00000086254	42.38	660
ENSMUSG00000087040	37.23	2653
ENSMUSG00000084286	38.72	682
ENSMUSG00000083469	46.6	1293
ENSMUSG00000096187	45.91	683
ENSMUSG00000085892	42.14	502
ENSMUSG00000095306	51.83	826
ENSMUSG00000082301	47.76	1025
ENSMUSG00000082681	42.77	172
ENSMUSG00000081422	41.67	239
ENSMUSG00000085899	41.95	549
ENSMUSG00000096575	45.58	701
ENSMUSG00000020444	53.86	3332
ENSMUSG00000083684	50.09	550
ENSMUSG00000083801	46.93	178
ENSMUSG00000093832	46.35	683
ENSMUSG00000080742	41.56	1474
ENSMUSG00000098129	46.32	500
ENSMUSG00000062391	48.45	6466
ENSMUSG00000096418	45.91	683
ENSMUSG00000082096	45.78	816
ENSMUSG00000028063	51.63	9785
ENSMUSG00000094036	44	1093
ENSMUSG00000083287	38.6	1363
ENSMUSG00000096671	45.58	701
ENSMUSG00000086822	44.96	7850
ENSMUSG00000081548	44.92	900
ENSMUSG00000098160	45.04	1801
ENSMUSG00000021730	36.35	3517
ENSMUSG00000030987	41.63	3585
