Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Protein.names	Gene.names	con_0h_5	con_0h_7	con_2h_3	con_6h_1	con_6h_4	con_12h_3	con_18h_1	con_18h_4	con_24h_3	IKA_0h_5	IKA_0h_7	IKA_2h_3	IKA_6h_1	IKA_6h_4	IKA_12h_3	IKA_18h_1	IKA_18h_4	IKA_24h_3	con_0h_6	con_2h_1	con_2h_4	con_6h_3	con_12h_1	con_12h_4	con_18h_3	con_24h_1	con_24h_4	IKA_0h_6	IKA_2h_1	IKA_2h_4	IKA_6h_3	IKA_12h_1	IKA_12h_4	IKA_18h_3	IKA_24h_1	IKA_24h_4
Q9D600	Q9D600	1	1	1	DNA replication complex GINS protein PSF2	Gins2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96178.73051	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9D842	Q9D842	1	1	1	Aprataxin and PNK-like factor	Aplf	0	0	0	0	0	323487.6374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16125	P16125	2	1	1	L-lactate dehydrogenase B chain	Ldhb	0	0	0	0	0	0	0	0	0	0	0	0	0	327595.4064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q91WK5	Q91WK5	2	2	2	Glycine cleavage system H protein, mitochondrial	Gcsh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148533.9721	0	0	0	0	0	0	148724.3151	0	0	0	0	0	0	0	0
Q9CPZ6	Q9CPZ6	1	1	1	ORM1-like protein 3	Ormdl3	0	0	0	0	0	0	0	860867.3016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O09126	O09126	1	1	1	Semaphorin-4D	Sema4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478264.1509	0	0	0
Q91VL9	Q91VL9	1	1	1	Zinc finger and BTB domain-containing protein 1	Zbtb1	0	0	0	0	0	161721.1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262489.8596	0	0	0	0	0	0	0	0	0	0	0	0
P28659	P28659	2	1	1	CUGBP Elav-like family member 1	Celf1	0	0	0	0	0	0	0	0	342002.9895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8K3G5	Q8K3G5	1	1	1	Inactive serine/threonine-protein kinase VRK3	Vrk3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291622.5891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3UFM5	Q3UFM5	1	1	1	Nucleolar MIF4G domain-containing protein 1	Nom1	0	0	0	0	0	0	0	1103951.746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q80TV8	Q80TV8	3	3	3	CLIP-associating protein 1	Clasp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390487.1194	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6ZQK5	Q6ZQK5	1	1	1	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	Acap2	0	0	0	0	0	465807.6923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O70293;Q8VEB1	O70293;Q8VEB1	1;1	1;1	1;1	G protein-coupled receptor kinase 6;G protein-coupled receptor kinase 5	Grk6;Grk5	0	0	0	0	0	0	0	731683.8095	0	0	0	0	0	0	0	0	0	0	0	370480.7692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O35382	O35382	1	1	1	Exocyst complex component 4	Exoc4	0	0	0	0	0	0	0	0	0	39273.72053	0	57150.67873	0	0	131517.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	113635.3712	0	0	0	0	0	0	0
Q8CII2	Q8CII2	1	1	1	Cell division cycle protein 123 homolog	Cdc123	0	0	0	0	0	0	0	1278982.857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8BVG4	Q8BVG4	1	1	1	Dipeptidyl peptidase 9	Dpp9	0	0	0	0	0	0	0	0	0	0	0	0	0	462123.6749	0	0	0	0	0	0	0	0	0	0	0	0	43538.262	0	0	0	0	0	0	0	0	0
P56671	P56671	1	1	1	Myc-associated zinc finger protein	Maz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666018.8679	0	0	0
Q9D6W8	Q9D6W8	1	1	1	Uncharacterized protein C17orf59 homolog		0	0	0	0	0	0	0	0	0	0	0	0	0	533592.7562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8R080	Q8R080	1	1	1	G2 and S phase-expressed protein 1	Gtse1	0	21237.97468	0	0	0	168837.9121	0	0	0	115583.6688	0	0	0	0	0	0	0	0	0	42907.05128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99KI3	Q99KI3	1	1	1	ER membrane protein complex subunit 3	Emc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1065959.204	0	0	0	0	0	0	0	0	0	0	0
E9Q5K9	E9Q5K9	2	2	2		Ythdc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824519.2308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99750.24777	0
Q8C0I4	Q8C0I4	1	1	1	Enhancer of polycomb homolog 2	Epc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346489.726	0	0	0	0	0	0	0	0
Q8R007	Q8R007	2	2	2	Poliovirus receptor-related protein 4	Pvrl4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450283.8428	0	0	0	0	0	0	0
O55106	O55106	1	1	1	Striatin	Strn	0	0	0	0	0	0	0	0	0	0	0	0	153092.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7TQF7	Q7TQF7	1	1	1	Amphiphysin	Amph	0	0	0	0	0	0	0	1708735.238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q61168	Q61168	2	2	2	Lysosomal-associated transmembrane protein 5	Laptm5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150830.1282	0	0	0	0	0	0	0	0	361364.6288	0	0	0	0	115086.6756	0	0
Q8BWZ3	Q8BWZ3	1	1	1	N-alpha-acetyltransferase 25, NatB auxiliary subunit	Naa25	0	0	126840.2778	0	0	0	0	0	289566.5172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218832.6848	0	0	0	0	0	0	0	0	0
O08740	O08740	1	1	1	DNA-directed RNA polymerase II subunit RPB11	Polr2j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294998.1329	0	0	0	0	0	0
Q8C5D8;O88907	Q8C5D8;O88907	1;1	1;1	1;1	E3 SUMO-protein ligase PIAS2;E3 SUMO-protein ligase PIAS1	Pias2;Pias1	0	0	0	0	0	0	0	1942281.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9D7B6	Q9D7B6	2	2	2	Isobutyryl-CoA dehydrogenase, mitochondrial	Acad8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998301.8868	0	0	0
Q8C551	Q8C551	1	1	1	RAD51-associated protein 1	Rad51ap1	0	0	0	0	0	0	0	0	0	0	760551.6266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9CQU0	Q9CQU0	2	2	2	Thioredoxin domain-containing protein 12	Txndc12	0	0	0	215059.5117	0	0	0	0	0	0	0	0	0	0	0	0	0	271432.8679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8C9B9	Q8C9B9	2	2	2	Death-inducer obliterator 1	Dido1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1629367.164	0	0	0	0	0	0	0	0	0	0	0
Q99LI2	Q99LI2	3	3	3	Chloride channel CLIC-like protein 1	Clcc1	0	0	0	0	0	0	0	313247.873	0	0	303267.3267	0	0	0	0	0	0	0	152003.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6PD03	Q6PD03	1	1	1	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	Ppp2r5a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493621.5753	0	0	0	0	0	0	0	0
Q99K46	Q99K46	1	1	1	Ubiquitin carboxyl-terminal hydrolase 11	Usp11	0	0	0	0	0	879214.2857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8BIW9	Q8BIW9	1	1	1	Chromosome transmission fidelity protein 18 homolog	Chtf18	0	0	0	0	0	410429.9451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408854.8009	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8R2U0	Q8R2U0	1	1	1	Nucleoporin SEH1	Seh1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346474.359	0	0	0	0	0	0	0	0	526779.476	0	0	0	0	0	0	0
P58137	P58137	1	1	1	Acyl-coenzyme A thioesterase 8	Acot8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650611.3537	0	0	0	0	0	0	0
Q61142	Q61142	1	1	1	Spindlin-1	Spin1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296703.7471	638463.3385	0	0	0	0	0	0	0	0	0	0	0	0
P62342	P62342	1	1	1	Selenoprotein T	Selt	0	0	0	527587.9959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3UA37	Q3UA37	1	1	1	Glutamine-rich protein 1	Qrich1	0	0	0	0	413795.082	0	0	0	0	0	0	0	0	0	156076.3052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9CZ42	Q9CZ42	2	2	2	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	Carkd	0	0	0	0	0	0	0	0	0	0	0	117556.5611	0	0	0	0	0	0	0	0	0	0	633053.8642	0	0	0	0	0	0	0	0	0	0	0	0	0
Q64701	Q64701	1	1	1	Retinoblastoma-like protein 1	Rbl1	0	64582.27848	0	0	0	812745.8791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P14824	P14824	1	1	1	Annexin A6	Anxa6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1206070.203	0	0	0	0	0	0	0	0	0	0	0	0
Q9QWT9	Q9QWT9	1	1	1	Kinesin-like protein KIFC1	Kifc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1212471.139	0	0	0	0	0	0	0	0	0	0	0	0
Q91YL2	Q91YL2	2	2	2	E3 ubiquitin-protein ligase RNF126	Rnf126	0	52141.77215	0	0	0	350670.3297	0	0	0	0	185756.7185	0	0	0	0	0	0	0	53159.93266	0	0	0	0	263536.6615	0	0	0	0	0	0	0	0	0	0	0	0
Q8CCB4	Q8CCB4	1	1	1	Vacuolar protein sorting-associated protein 53 homolog	Vps53	0	0	0	381566.1241	0	0	0	0	0	0	0	0	104862.8088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9D083	Q9D083	1	1	1	Kinetochore protein Spc24	Spc24	0	0	0	634352.4924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8CIM8	Q8CIM8	1	1	1	Integrator complex subunit 4	Ints4	0	0	0	0	0	0	0	2373801.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197301.8868	0	0	0
Q8VBW6	Q8VBW6	2	2	2	NEDD8-activating enzyme E1 regulatory subunit	Nae1	0	0	0	0	0	0	0	1515806.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379890.8297	0	0	0	0	0	0	0
Q6ZQK0	Q6ZQK0	1	1	1	Condensin-2 complex subunit D3	Ncapd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995628.8056	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3UQ44	Q3UQ44	4	2	2	Ras GTPase-activating-like protein IQGAP2	Iqgap2	0	0	0	0	0	612675.8242	0	0	0	0	0	0	9348.526225	0	0	0	0	0	0	0	0	0	0	589709.8284	0	0	0	0	0	0	0	0	0	0	0	0
Q9CY28	Q9CY28	1	1	1	GTP-binding protein 8	Gtpbp8	0	0	0	0	0	0	0	0	0	0	0	0	180216.9484	0	0	0	0	0	0	0	0	0	0	0	0	0	65843.83917	0	0	0	58199.1927	0	0	0	21672.94351	0
A2A5N8	A2A5N8	1	1	1	Lethal(3)malignant brain tumor-like protein 1	L3mbtl1	0	0	0	0	0	0	0	0	0	0	1098995.757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8CI51	Q8CI51	1	1	1	PDZ and LIM domain protein 5	Pdlim5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015387.588	0	0	0	0	0	0	0	0	0	0	0	0	0
P52825	P52825	1	1	1	Carnitine O-palmitoyltransferase 2, mitochondrial	Cpt2	0	0	0	0	0	0	0	0	0	0	0	424812.2172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96301.34429	0	0	0	0	0	0
P37217	P37217	1	1	1	Early activation antigen CD69	Cd69	20722.94372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221976.3485	0	0	0	0	0	146117.096	0	0	0	0	0	45181.22271	0	0	0	0	336579.5424	0	0
P29755	P29755	1	1	1	Type-1B angiotensin II receptor	Agtr1b	0	0	0	0	0	0	0	0	0	474496.8373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Z2W1;Q99KH8	Q9Z2W1;Q99KH8	6;5	1;1	1;1	Serine/threonine-protein kinase 25;Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 35 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit	Stk25;Stk24	0	0	0	0	0	0	0	0	0	0	0	567787.3303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6A009	Q6A009	1	1	1	E3 ubiquitin-protein ligase listerin	Ltn1	0	0	494739.5833	0	0	0	0	0	0	0	0	0	0	859686.3958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q61286	Q61286	1	1	1	Transcription factor 12	Tcf12	0	0	0	0	0	0	0	0	0	0	847001.4144	0	0	0	0	0	0	0	0	0	0	0	0	467268.3307	0	0	0	0	0	0	0	0	0	0	0	0
Q01405	Q01405	3	2	2	Protein transport protein Sec23A	Sec23a	0	0	0	0	0	0	0	284689.7778	0	0	0	0	0	0	0	0	0	413619.7637	104096.5208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101510.4063	0
Q6NSQ7	Q6NSQ7	1	1	1	Protein LTV1 homolog	Ltv1	0	0	0	0	0	0	0	3316973.968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99KK2	Q99KK2	1	1	1	N-acylneuraminate cytidylyltransferase	Cmas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1112805.809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9WVQ5	Q9WVQ5	2	2	2	Methylthioribulose-1-phosphate dehydratase	Apip	0	0	0	0	0	251096.1538	0	518685.7143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617819.0328	0	0	0	0	0	0	0	0	487000	0	0	0
Q8C1M2	Q8C1M2	1	1	1	Zinc finger protein 428	Znf428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1595017.161	0	0	0	0	0	0	0	0	0	0	0	0
Q91VJ4	Q91VJ4	1	1	1	Serine/threonine-protein kinase 38	Stk38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1608745.71	0	0	0	0	0	0	0	0	0	0	0	0
Q9D706	Q9D706	1	1	1	RNA polymerase II-associated protein 3	Rpap3	0	0	0	0	0	1098519.231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410274.6711	0	0	0	0
Q8BI84	Q8BI84	1	1	1	Melanoma inhibitory activity protein 3	Mia3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1658992.2	0	0	0	0	0	0	0	0	0	0	0	0
Q8BPA8	Q8BPA8	1	1	1	Protein DPCD	Dpcd	0	0	0	0	739098.3607	0	0	0	0	0	0	0	0	75170.9364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13331.21903	0
Q9CY94	Q9CY94	1	1	1	DNA replication complex GINS protein PSF3	Gins3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1254064.403	0	0	0	0	0	0	0	0	0	0	0	0	0
P97864	P97864	1	1	1	Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11	Casp7	0	141453.1646	0	0	0	810192.3077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244807.9625	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7TPD0	Q7TPD0	1	1	1	Integrator complex subunit 3	Ints3	0	0	0	0	0	0	0	0	0	0	0	0	371612.4837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99L48	Q99L48	1	1	1	60S ribosomal export protein NMD3	Nmd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1299519.906	0	0	0	0	0	0	0	0	0	0	0	0	0
Q80UK8	Q80UK8	1	1	1	Integrator complex subunit 2	Ints2	0	0	0	0	0	1525947.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q80Y44	Q80Y44	2	2	2	Probable ATP-dependent RNA helicase DDX10	Ddx10	0	0	0	0	0	0	0	1865869.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011854.726	0	0	0	173558.952	0	0	0	0	0	0	0
P48193	P48193	1	1	1	Protein 4.1	Epb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1757082.683	0	0	0	0	0	0	0	0	0	0	0	0
Q9Z0L1	Q9Z0L1	2	2	2	Sphingosine 1-phosphate receptor 4	S1pr4	0	0	0	0	0	0	0	142886.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2862285.572	0	0	0	0	0	0	0	0	0	0	0
Q9D2E2	Q9D2E2	1	1	1	Target of EGR1 protein 1	Toe1	0	24683.03797	0	0	0	0	0	0	0	59373.20299	42356.43564	0	0	0	0	639713.2928	0	0	0	81086.53846	0	0	0	0	0	0	0	0	213679.0393	0	0	0	0	0	0	0
Q9CWV0	Q9CWV0	1	1	1	Mitochondrial assembly of ribosomal large subunit protein 1	Malsu1	564772.7273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9R062	Q9R062	1	1	1	Glycogenin-1	Gyg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178958.501	0	0	0	0	0	0	0	0	0	0	0	0	0	291899.5633	0	0	0	0	0	0	0
P62071	P62071	1	1	1	Ras-related protein R-Ras2	Rras2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556228.223	0	0	0	0	0	0	0	0	0	146140.9266	403779.6053	0	0	113419.227	0
O88874	O88874	1	1	1	Cyclin-K	Ccnk	14817.64069	112486.0759	0	0	0	94959.61538	136279.5294	0	0	74554.34158	0	50377.60181	0	0	0	0	66724.06639	0	0	0	0	0	0	270229.3292	0	0	0	25982.87671	271572.0524	0	0	0	0	0	0	0
Q8K3A9	Q8K3A9	1	1	1	7SK snRNA methylphosphate capping enzyme	Mepce	0	0	0	0	0	0	0	0	0	0	0	0	34422.97356	388777.3852	249156.6265	0	0	75441.46079	0	0	0	43123.30178	0	0	0	0	0	0	0	0	68274.48227	0	280811.3208	0	23382.35877	0
Q8K0H5	Q8K0H5	1	1	1	Transcription initiation factor TFIID subunit 10	Taf10	0	0	0	0	0	0	0	2276472.381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1431532.338	0	0	0	0	0	0	0	0	0	0	0
Q9CZJ1	Q9CZJ1	1	1	1	Probable U3 small nucleolar RNA-associated protein 11	Utp11l	0	0	0	0	0	0	0	0	0	0	0	766018.0995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6P6J9	Q6P6J9	1	1	1	Thioredoxin domain-containing protein 15	Txndc15	173652.5974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119517.3962	0	0	0	0	0	430931.3433	0	0	177431.5068	0	0	0	234328.9474	207377.3585	0	0	0
O88559	O88559	1	1	1	Menin	Men1	17018.93939	0	0	0	0	0	1688550.588	0	0	135974.6981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9QZN0	Q9QZN0	1	1	1	F-box only protein 15	Fbxo15	0	0	0	983596.1343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9D8Z2	Q9D8Z2	1	1	1	TP53-regulated inhibitor of apoptosis 1	Triap1	0	0	0	0	0	1727967.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8BG79	Q8BG79	1	1	1	CWF19-like protein 2	Cwf19l2	0	0	0	0	0	961699.1758	0	0	0	0	0	0	0	0	0	0	93164.60581	0	0	0	0	0	0	751620.9048	0	0	0	0	0	0	0	0	0	0	0	0
Q8VE88	Q8VE88	1	1	1	Protein FAM114A2	Fam114a2	0	0	0	1060813.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8BKH7	Q8BKH7	1	1	1	Target of rapamycin complex 2 subunit MAPKAP1	Mapkap1	0	0	0	0	830000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64366.09337	0	0	0	0	0
Q8K124	Q8K124	2	2	2	Pleckstrin homology domain-containing family O member 2	Plekho2	0	0	0	0	0	0	446102.8571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2953960.199	0	0	0	0	0	0	0	0	0	0	0
O08664	O08664	1	1	1	B-cell CLL/lymphoma 7 protein family member C	Bcl7c	0	0	0	0	0	0	0	486058.4127	0	0	0	0	0	0	0	0	0	0	631762.0651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O70172;Q80XI4	O70172;Q80XI4	3;2	3;2	3;2	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha;Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Pip4k2a;Pip4k2b	0	0	0	0	634172.1311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1430839.801	0	0	0	0	0	0	0	0	0	0	0
